invest_opinion,price_goal,reporter,titles,contents,dates
BUY,"45,000",하나증권 김홍식,"KT A030200 -다가올 2월을 대비한 매수 서두를 때, 가격 메리트 커","매수/목표가 45,000원 유지, 단기 매수 찬스로 1월 최선호
- 4분기 실적 우려 버리고 2월 이후를 대비할 시점",2023/01/02
BUY,"20,000",하나증권 김홍식,"LG유플러스 A032640 -4Q 실적 주가에 미반영, 어닝 시즌까지 비중 확대 유효","매수/TP 20,000원 유지, 2월 실적 발표 시즌까지 매수 유효
- 4Q 실적 발표 후 이익/배당 전망 낙관적으로 변화할 것",2023/01/02
,,KB증권 이선화,파라다이스 A034230 -12월 잠정실적 comment,"12월 테이블 드롭액 4,677억원, 방문객 9,884명, 매출액 479억원
- P-City 일본 VIP 드롭액과 트래픽 완전 회복",2023/01/02
,,한국IR협의회(리서치센터) 이새롬,"감성코퍼레이션 A036620 -어패럴 이익 회수 본격화. 23년 더해질 키즈 라인, 해외 진출, 면세점","국내 유통 채널 확대 & 점포당 매출 효율 동반 고성장 중
- 23년 키즈 라인업 확대, 해외 진출 시작",2023/01/02
Not Rated,,리딩투자증권 유성만,감성코퍼레이션 A036620 -중화권으로 진출하는 스노우피크!!!,"올해부터 중화권으로 본격 진출하는 스노우피크(Snow Peak)
- 국내에서는 올해(23 년)에도 최소 YoY 50% 이상의 성장이 예상되는 스노우피크",2023/01/02
BUY,"23,000",교보증권 안유동,대우조선해양 A042660 -자본확충에 따른 재무구조 개선 및 불확실성 해소,"대우조선해양, 목표주가 23,000원으로 커버리지 개시
- 한화로부터 받은 2조원, 재무구조 개선에 따른 벨류에이션 확대 전망",2023/01/02
BUY,"850,000",삼성증권 조현렬,LG화학 A051910 -4Q preview: Earnings to take a breather,"We expect LG Chem to post a 4Q operating profit of KRW498.8b (down 45% q-q), missing consensus of KRW801b by 38% as: 1) we believe the chemical division suffered a q-q turn to an operating loss; and 2) we have cut our 4Q estimates for the firm’s battery subsidiary and battery materials unit.
- Amid an industry downturn, LG Chem’s well-diversified business portfolio should remain attractive. Specifically, a rebound in profits at the battery materials unit should continue to offset the effects of a chemical industry downturn in 1H. We reiterate BUY.",2023/01/02
BUY,"850,000",삼성증권 조현렬,LG화학 A051910 -4Q22 preview - 쉬어가는 실적,"4Q22 preview, 컨센서스 하회 전망
- View, 다각화된 포트폴리오는 여전히 매력적",2023/01/02
BUY,"24,800",하이투자증권 이상헌,제이브이엠 A054950 -조제 자동화 문화가 되어간다,"지난해 가격인상 효과 등으로 사상 최대 실적 예상됨
- 조제 자동화 문화 확산 등이 동사 매출 성장의 원동력",2023/01/02
BUY,"360,000",DB금융투자 정재헌,"엘앤에프 A066970 -과도한 우려, 성장성에 주목","여전히 견조한 양극재 출하량, 다만 환율과 일회성 비용의 변수
- 23년에도 성장은 지속될 것",2023/01/02
BUY,"220,000",삼성증권 서근희,셀트리온 A068270 -2023년 휴미라 바이오시밀러의 보험 등재 중요,"미국 PBM, 휴미라 바이오시밀러 처방 확대에 적극적
- PBM의 보험 등재 방향성은 바이오시밀러에게 유리",2023/01/02
BUY,"220,000",삼성증권 서근희,셀트리온 A068270 -Needs PBMs to add its Humira biosimilar to formularies,"US PBMs eager to expand Humira biosimilar prescriptions
- PBMs move in favor of biosimilars",2023/01/02
BUY,"220,000",삼성증권 조현렬,"SK이노베이션 A096770 -4Q preview: Oil price decline, one-off costs take toll",4Q22 preview?misses consensus sharply,2023/01/02
BUY,"220,000",삼성증권 조현렬,SK이노베이션 A096770 -4Q22 preview - 유가 하락 및 일회성 비용 영향,"4Q22 preview, 기대치 대폭 하회 전망
- View, 배터리 수익성 개선 여부가 관건",2023/01/02
BUY,"18,000",하이투자증권 이상헌,고영 A098460 -글로벌 공급망 생산거점 재구축 수혜,"글로벌 공급망 탈세계화로 생산거점 재배치에 대한 투자 확대 본격화⇒ 북미지역 매출 증가로 이어지면서 동사 수혜 가능할 듯
- 의료용 로봇 성장성 가속화 될 듯",2023/01/02
BUY,"49,000",DB금융투자 김평모,"한국타이어앤테크놀로지 A161390 -RE는 버티고, 원가는 내려가고","4Q22, 수요 아쉽지만 낮아진 원가 부담
- 2023년 원가 하락 사이클",2023/01/02
BUY,"55,000",키움증권 허혜민,알테오젠 A196170 -플랫폼 가치 상승과 열린 결말의 기술이전,"시밀러 제품 당 기술이전 금액 증가
- 단순한 기술이전을 넘어 전략적 KEY 파트너",2023/01/02
BUY,"75,000",현대차증권 엄민용,알테오젠 A196170 -산도즈와 함께 바이오시밀러 글로벌 진출,"노바티스 자회사 산도즈와 바이오시밀러 SC개발 계약, 바이오시밀러 시장 패러다임의 전환
- 키트루다SC를 포함 ‘23년 품목허가 전 단계 임상 2건이 개시, 추가 기술이전도 이어질 것",2023/01/02
BUY,"65,000",유안타증권 하현수,알테오젠 A196170 -ALT-B4 추가 계약 상대는 Sandoz,"Sandoz와 ALT-B4 라이센스 계약 체결
- SC 제형화 오리지널 증가, 시밀러에게도 필수 기술로",2023/01/02
Not Rated,,부국증권 엄태웅,스코넥 A276040 -다양한 VR/XR 사업영위,"VR 게임, XR 교육/훈련 시스템 등 23년 매출 성장 본격화 전망
- 24년 독보적인 HMD 점유율을 보유한 메타향 VR FPS 게임 출시 기대감",2023/01/02
BUY,"144,000",교보증권 안유동,"HD현대중공업 A329180 -탱커 수주+엔진사업부 보유에 따른 원가절감, 친환경 선박 점유","현대중공업, 목표주가 144,000원으로 커버리지 개시
- VLCC, Suezmax 수주 기대",2023/01/02
Not Rated,,삼성증권 이경자,제이알글로벌리츠 A348950 -최대 규모의 해외자산 편입 리츠,"AUM 1.8조원으로 해외자산을 편입한 리츠로는 AUM과 시가총액 1위
- 벨기에 재무부와 미국 보건의료노동조합 등 높은 임차인 안정성",2023/01/02
,,한국IR협의회(리서치센터) 김경민,퓨런티어 A370090 -자율주행 진영을 대표하는 수혜주,"자율주행차용 카메라 및 라이다 분야 수혜주
- 테슬라 진영에서 카메라 위주로 자율주행 추진하다 센서 다변화 중",2023/01/02
BUY,"620,000",삼성증권 조현렬,LG에너지솔루션 A373220 -4Q preview: Hurt by weakening dollar and one-offs,"We forecast LG Energy Solution (LGES) will post a 4Q operating profit of KRW349.1b(down 33% q-q), missing consensus by 29%.
- We lower our 12-month target price for the stock to reflect rising concerns over demand shrinking. But as such concerns should dissipate if the firm’s shipment growth proves strong in 1H23, we maintain our BUY rating.",2023/01/02
BUY,"620,000",삼성증권 조현렬,LG에너지솔루션 A373220 -4Q22 preview - 환율 약세 및 일회성 비용 영향,"4Q22 preview, 컨센서스 하회
- View, 우려를 불식시킬 실적이 필요",2023/01/02
매수,"710,000",한국투자증권 조철희,LG에너지솔루션 A373220 -4Q22 Preview: 잠시 숨 고르기,"일회성 비용으로 컨센서스 하회하는 4분기
- 단기 실적 우려는 존재하나",2023/01/02
Not Rated,,삼성증권 이경자,미래에셋글로벌리츠 A396690 -미국 물류자산의 안정적 현금흐름,"휴스턴, 템파, 인디애나폴리스 등 3개의 미국 물류센터 자산을 담은 리츠
- 리츠가 추구하는 최우선 가치는 배당 안정성이며 차입금 만기는 2025년 12월부터",2023/01/02
Not Rated,,삼성증권 이경자,KB스타리츠 A432320 -대형 금융그룹이 만든 리츠,"KB금융그룹의 리츠로 높은 배당 안정성
- 유럽 금리 인상의 리스크",2023/01/02
BUY,"130,000",대신증권 양지환,CJ대한통운 A000120 -저성장에도 안정적인 실적 기대,"투자의견 매수, 목표주가 130,000원 유지
- 2022년 4분기 영업이익 1,071억원으로 시장 기대치 소폭 하회 전망",2023/01/03
매수,"7,400",한국투자증권 강경태,쌍용C&E A003410 -4Q22 Preview: 착공 사이클 끝 무렵에 보일 호실적,"P 상승, Q 증가를 한 번에
- 올해부터 시멘트 출하량 감소할 것",2023/01/03
BUY,"10,000",현대차증권 이홍재,코리안리 A003690 -여전히 가장 높은 투자 선호도,"발행주식수 증가 반영하여 목표가는 조정. 최선호 의견 유지
- 이외에 업황 개선 등 긍정적인 전망도 유지",2023/01/03
BUY,"78,000",하나증권 김록호 외2,삼성전자 A005930 -수요 급감 속에 비중확대 의견 유지,"4Q22 Preview: 하향중인 컨센서스를 하회
- 2023년 실적 전망치도 대폭 하향",2023/01/03
BUY,"900,000",다올투자증권 전혜영,삼성SDI A006400 -프리미엄의 힘,"4Q22 실적 Preview. 영업이익 기준 컨센서스 하회하는 실적 전망
- 환율 및 판가 하락, 전자재료 부문 전방 산업 둔화에 따라 실적 추정을 소폭 하향하지만, 실적 성장의 주된 요인인 EV향 전지 출하량은 지속 증가할 전망",2023/01/03
매수,"110,000",한국투자증권 김명주,호텔신라 A008770 -4Q22 Preview: 고진감래가 코 앞,"영업이익이 컨센서스를 하회할 것
- 고생 끝에 낙이 온다",2023/01/03
BUY,"190,000",대신증권 박강호,"삼성전기 A009150 -MLCC, 1Q 저점 통과 예상","투자의견 ‘매수(BUY)’ 및 목표주가 190,000원 유지
- 실적 저점은 22년 4분기, 가동률 저점은 2023년 1분기로 판단",2023/01/03
BUY,"190,000",유안타증권 백길현,삼성전기 A009150 -삼춘가절(三春佳節),"4Q22 Preview: 전 사업부문 실적 부진 불가피할 것
- MLCC 업종의 선제적인 재고조정  수요 반등 강도가 높을 것",2023/01/03
BUY,"190,000",유안타증권 백길현,삼성전기 A009150 -Spring will come,"4Q22 preview: all business earnings likely sluggish
- Preemptive MLCC inventory adjustments - demand to rebound strongly",2023/01/03
BUY,"190,000",대신증권 박강호,삼성전기 A009150 -Moving past MLCC trough in 1Q22,"BUY; 6M TP maintained at W190,000
- Moving past earnings low point in 4Q22 and capacity utilization trough in 1Q23",2023/01/03
BUY,"67,000",하이투자증권 전유진,한화솔루션 A009830 -태양광 발전사업체로서의 전진,"4Q22 Preview: 영업이익 3,493 억원 (컨센서스 대비 +6.2%)
- 유럽 내 수요 둔화로 태양광 전 밸류체인 가격 하락세",2023/01/03
BUY,"750,000",대신증권 이태환,고려아연 A010130 -시간이 필요해,"투자의견 매수(BUY), 목표주가 750,000원 하향
- 4Q22 Preview 고가 원재료 반영 + 환율 하락",2023/01/03
BUY,"510,000",유안타증권 백길현,LG이노텍 A011070 -A long winter,"4Q22 preview: likely misses consensus
- Apple supply chain issue",2023/01/03
매수,"450,000",IBK투자증권 김운호,LG이노텍 A011070 -4분기는 기대 이하. 2023년 사상 최대 실적 기대,"LG이노텍의 2022년 4분기 실적은 이전 전망치 하회할 전망
- LG이노텍 2023년 매출액은 2022년 대비 17.1% 증가한 23조 463억원으로 예상",2023/01/03
BUY,"510,000",유안타증권 백길현,LG이노텍 A011070 -삼동설한(三冬雪寒),"4Q22 Preview: 실적 컨센서스 하회 불가피할 것
- Apple 공급망 점검",2023/01/03
매수,"29,000",신영증권 권덕민,"한국전력 A015760 -2023년, 일단은 기분 좋은 출발","2023년은 요금 인상으로 의미 있는 출발
- 한국전력의 흑자전환을 위한 노력은 지속될 것으로 전망",2023/01/03
매수,"180,000",신한투자증권 오강호,삼성에스디에스 A018260 -2023 IT서비스에 주목,"경기 둔화 우려에도 클라우드 서비스 확대
- 2023년 영업이익 9,139억원(-2% YoY) 전망",2023/01/03
BUY,"190,000",흥국증권 박종렬,삼성물산 A028260 -불황에 더욱 돋보일 기업,"22년 영업이익 2.5조원(+107.9% YoY) 사상 최대치 기록
- 사업 포트폴리오의 힘, 올해 영업실적도 순항할 것",2023/01/03
BUY,"30,000",DB금융투자 신은정,"제일기획 A030000 -경기 둔화가 발목잡지만, 그래도 성장은 한다","4Q22 실적은 컨센서스 하회 예상
- 23년에도 디지털 중심의 성장은 가능",2023/01/03
매수,"25,000",SK증권 나승두,롯데관광개발 A032350 -이런 주가 하락이라면 매수로 대응하는 것이 정답,"기초체력 탄탄해지는 중
- 제주도 국제 항공편 증가에 주목",2023/01/03
BUY,"18,000",키움증권 김소원,LG디스플레이 A034220 -최악의 시기 통과 중. 2H23 턴어라운드 전망,"4Q22 영업이익 -7,561억원, 시장 컨센서스 하회할 전망
- 2023년, 뚜렷한 상저하고 실적 전망",2023/01/03
매수,"510,000",한국투자증권 정호윤,엔씨소프트 A036570 -4Q22 Preview: 시동 거는 중,"신작 부재로 이익 감소세는 이어질 전망
- 디렉터스 프리뷰를 통해 프로젝트TL에 대한 정보공개 시작",2023/01/03
매수,"35,000",IBK투자증권 김운호,아모텍 A052710 -MLCC 매출 본격화 기대,"2022년 4분기 영업 흑자 기대
- 2023년 매출액은 2903억원으로 2022년 대비 34.2% 증가할 것으로 기대",2023/01/03
매수,"10,000",IBK투자증권 김운호,세코닉스 A053450 -Turn Around!,"세코닉스의 2022년 실적은 상고하저
- 2022년 4분기 실적은 3분기와 큰 차이는 없을 전망",2023/01/03
,,한국IR협의회(리서치센터) 백종석,KH바텍 A060720 -폴더블기기 성장을 책임진다,"소형정밀 다이캐스팅과 폴더블 힌지 제조 전문기업
- 글로벌 스마트폰 시장은 정체중이나 폴더블폰 시장은 고성장",2023/01/03
BUY,"230,000",NH투자증권 박병국,대웅제약 A069620 -비용 증가가 아쉬운 상황,"4분기에도 지속적인 비용 증가로 컨센서스 하회 전망
- 여전히 국내 대형제약사 중 저평가 기업",2023/01/03
Not Rated,,이베스트투자증권 정홍식,유니퀘스트 A077500 -비메모리 반도체 유통 솔루션 기업,"비메모리 반도체 유통 솔루션
- 실적동향: 3Q22 누적 영업이익 +52.1% YoY",2023/01/03
,,NH투자증권 주민우,대주전자재료 A078600 -신규 시설 투자 코멘트,"전일 568억원 규모의 2차전지용 실리콘 음극재(이하 SiOx) 신규 시설 투자를 발표
- 실리콘 음극재 관련 증설은 국내 시화 산업단지와 새만금 산업단지 두 축으로 진행.",2023/01/03
BUY,"140,000",삼성증권 한영수,LIG넥스원 A079550 -Share-price decline excessive,"Shares falling
- Share price decline excessive nonetheless",2023/01/03
BUY,"140,000",삼성증권 한영수,LIG넥스원 A079550 -과도한 주가 하락,"주가 하락
- 4분기 실적 둔화 우려",2023/01/03
BUY,"35,000",DB금융투자 어규진,유진테크 A084370 -연초에는 이런 장비,"4분기 매출액 556억원, 영업이익 46억원으로 전방산업 투자 축소에 따른 부진 불가피
- 23년 어려운 업황 속에서도 삼성전자 DRAM 신규 투자로 경쟁사 대비 실적 선방 전망",2023/01/03
Not Rated,,이베스트투자증권 정홍식,매커스 A093520 -FPGA 특화된 비메모리 반도체 유통 기업,"비메모리 반도체 유통
- FPGA 특화: 수익성이 높다",2023/01/03
BUY,"310,000",유안타증권 황규원,SK이노베이션 A096770 -배터리 흑자 전환 예상보다 늦어져!,"2022년 4분기 예상 영업손실 1,221억원, 적전
- 2023년 배터리 외형 68% 성장, 수율개선 속도가 관건",2023/01/03
Not Rated,,현대차증권 곽민정,"우림피티에스 A101170 -존디어가 끌고, 옥시가 미는 Be In It!","존디어향 농기계향 기어박스 매출 비중이 2021년 21%에서 2022년 30% 이상 증가, 2023년에는 40% 이상 점차적으로 증가할 것
- 현재 미국의 셰일 오일 및 가스 시추와 관련하여 옥시덴탈 페트롤리움향 시추 기어 박스의 매출 비중 증가",2023/01/03
,,KB증권 이선화,GKL A114090 -12월 잠정실적 comment,"12월 드롭액 2,493억원, 방문객 46,683명, 매출액 305억원
- 방문객 증가 지속되었으나 Mass 고객 비중이 상승하면서 12월 드롭액 전월대비 역성장",2023/01/03
매수,"160,000",신영증권 서정연,이마트 A139480 -경쟁력을 발휘할 수 있는 환경,"2022년 결산
- 경쟁력 발휘할 수 있는 환경",2023/01/03
BUY,"120,000",NH투자증권 박병국,"덴티움 A145720 -’23년을 기대하며, 중국 코로나19로 4분기는 잠시 휴식","중국 코로나 상황으로 4분기 실적은 아쉬우나 정상화를 위한 필수 과정
- 예상 경로대로 가고 있는 중국 VBP 상황",2023/01/03
매수,"48,000",신한투자증권 이동건,알테오젠 A196170 -개발 성과 확인 이후 재평가 기대,"바이오시밀러 기업 산도즈와 1.45억달러 규모 기술이전 계약 체결
- 2023년에는 파트너사들의 개발 성과 및 테르가제 품목허가 기대",2023/01/03
,,KB증권 한유건,한주라이트메탈 A198940 -국내 대표 모빌리티 부품 경량화 솔루션 기업,"한주라이트메탈은 1987년에 설립된 알루미늄 소재 자동차 부품 및 해양 선박 부품을 제조하는 기업
- 전체 매출의 90% 이상을 알루미늄 자동차 부품 (전기차 부품 포함)이 차지하고 있음",2023/01/03
BUY,"1,150,000",NH투자증권 박병국,삼성바이오로직스 A207940 -’23년 준비기 이후 4공장 성장 전망,"’23년, 성장을 위한 준비 기간
- 에피스의 하드리마는 ’24년부터 본격적인 성장 전망(오가논 기준)",2023/01/03
매수,"1,200,000",신한투자증권 이동건,삼성바이오로직스 A207940 -All eyes on Plant 5 and Samsung Bioepis,"4Q22 preview: Overall in line, profitability to fall slightly on partial operation of Plant 4
- 2023 outlook: Limited earnings momentum but capacity expansion in full swing",2023/01/03
매수,"1,200,000",신한투자증권 이동건,삼성바이오로직스 A207940 -5공장과 에피스에 쏠리는 눈,"4Q22 Pre: 양호한 실적, 4공장 부분 가동으로 수익성은 소폭 하락
- 2023년 실적 모멘텀은 다소 제한적이나 증설 모멘텀은 본격화",2023/01/03
매수,"1,000,000",미래에셋증권 김승민,삼성바이오로직스 A207940 -Ready for action,"Initiate coverage with Buy rating and TP of W1,000,000
- Poised to benefit from the full-fledged growth of the Alzheimer’s treatment market",2023/01/03
매수,"1,000,000",미래에셋증권 김승민,삼성바이오로직스 A207940 -재벌집 막내사업,"목표주가 1,000,000원, 투자의견 매수로 커버리지 개시
- 실질적 알츠하이머 시장 개화 수혜",2023/01/03
Not Rated,,KB증권 한제윤,"스코넥 A276040 -VR 시대, 그에 걸맞는 콘텐츠가 필요하다","기업개요: 게임을 비롯한 메타버스 VR 콘텐츠 제작 전문 기업
- 체크 포인트 1) 신규 하드웨어의 등장은 신규 콘텐츠의 등장을 의미",2023/01/03
매수,"38,000",신한투자증권 오강호,롯데정보통신 A286940 -2023 새해의 주인공,"4Q22 영업이익 103억원(+294% YoY) 예상
- 2023년 투자 Key: 1) 안정적 실적, 2) 차세대 메타 플랫폼",2023/01/03
BUY,"13,000",DS투자증권 안주원,"제이시스메디칼 A287410 -단단한 실적, 2023년에도 이어진다.","제품 라인업 강화, 판매 지역 확장
- 2023년 매출액과 영업이익 각각 31%, 32% 성장 전망",2023/01/03
TRADING BUY,"71,000",신한투자증권 이동건,SK바이오사이언스 A302440 -반등의 기회는 코로나가 아닌 CMO에서,"4Q22 Pre: 저조한 노바백스 CMO 매출로 컨센서스 하회 전망
- 2023년 실적의 변수는 ‘스카이코비원’, 전년대비 역성장 가능성",2023/01/03
Not Rated,,이베스트투자증권 조은애,리메드 A302550 -2023년 실적 레벨업에 대한 관심,"NMS가 끌고 TMS가 밀어주는 2023년
- 의미있는 실적 레벨업이 가능할 시점",2023/01/03
매수,"130,000",신한투자증권 오강호,현대오토에버 A307950 -2023 최고의 타이밍,"4Q22 영업이익 365억원(+39% YoY) 예상
- 2023년 차량SW 성장 지속 → 주가 반등 Key",2023/01/03
매수,"130,000",신한투자증권 오강호,현대오토에버 A307950 -Sharp re-rating expected in 2023,"4Q22 preview: OP to come in at KRW36.5bn (+39% YoY)
- Further growth in automotive software sales to drive share recovery",2023/01/03
,,FS리서치 황세환,루닛 A328130 -글로벌 Top-tier에 투자하는 기회,"암진단의 필요조건을 충족하는 AI 솔루션
- 루닛의 기술력은 글로벌 top-tier",2023/01/03
,,한국IR협의회(리서치센터) 최민주,브랜드엑스코퍼레이션 A337930 -기침 몇 번 했다고 감기는 아니다,"대한민국 1위 레깅스, 젝시믹스를 보유한 회사
- 투자포인트1) 젝시믹스 고성장",2023/01/03
Not Rated,,리딩투자증권 김민정,에이치피오 A357230 -‘23 년은 확장가능성이 본격화되는 시기,"‘22 년 연간 실적 전망
- 경쟁사 대비 한층 돋보인다",2023/01/03
